Timestamp,Index,Update,Sign,Entry Type,Price,Volume,Level
104003706001,03418,20,20,20,2020202020,20200000,05
104003706002,03418,20,20,20,2020202020,20200000,05
104003706003,03418,20,20,20,2020202020,20200000,05
104003706004,03418,20,20,20,2020202020,20200000,05
104003706005,03418,20,20,20,2020202020,20200000,05
104003706006,03418,20,20,20,2020202020,20200000,05
104003706007,03418,20,20,20,2020202020,20200000,05
104003706008,03418,20,20,20,2020202020,20200000,05
104003706009,03418,20,20,20,2020202020,20200000,05
10400370600a,03418,20,20,20,2020202020,20200000,05
10400370600b,03418,20,20,20,2020202020,20200000,05
10400370600c,03418,20,20,20,2020202020,20200000,05
10400370600d,03418,20,20,20,2020202020,20200000,05
10400370600e,03418,20,20,20,2020202020,20200000,05
10400370600f,03418,20,20,20,2020202020,20200000,05
104003706010,03418,20,20,20,2020202020,20200000,05
104003706011,03418,20,20,20,2020202020,20200000,05
104003706012,03418,20,20,20,2020202020,20200000,05
104003706013,03418,20,20,20,2020202020,20200000,05
104003706014,03418,20,20,20,2020202020,20200000,05
104003706015,03418,20,20,20,2020202020,20200000,05
104003706016,03418,20,20,20,2020202020,20200000,05
104003706017,03418,20,20,20,2020202020,20200000,05
104003706018,03418,20,20,20,2020202020,20200000,05
104003706019,03418,20,20,20,2020202020,20200000,05
10400370601a,03418,20,20,20,2020202020,20200000,05
10400370601b,03418,20,20,20,2020202020,20200000,05
10400370601c,03418,20,20,20,2020202020,20200000,05
10400370601d,03418,20,20,20,2020202020,20200000,05
10400370601e,03418,20,20,20,2020202020,20200000,05
10400370601f,03418,20,20,20,2020202020,20200000,05
104003706020,03418,20,20,20,2020202020,20200000,05
104003706021,03418,20,20,20,2020202020,20200000,05
104003706022,03418,20,20,20,2020202020,20200000,05
104003706023,03418,20,20,20,2020202020,20200000,05
104003706024,03418,20,20,20,2020202020,20200000,05
104003706025,03418,20,20,20,2020202020,20200000,05
104003706026,03418,20,20,20,2020202020,20200000,05
104003706027,03418,20,20,20,2020202020,20200000,05
104003706028,03418,20,20,20,2020202020,20200000,05
104003706029,03418,20,20,20,2020202020,20200000,05
10400370602a,03418,20,20,20,2020202020,20200000,05
10400370602b,03418,20,20,20,2020202020,20200000,05
10400370602c,03418,20,20,20,2020202020,20200000,05
10400370602d,03418,20,20,20,2020202020,20200000,05
10400370602e,03418,20,20,20,2020202020,20200000,05
10400370602f,03418,20,20,20,2020202020,20200000,05
104003706030,03418,20,20,20,2020202020,20200000,05
104003706031,03418,20,20,20,2020202020,20200000,05
104003706032,03418,20,20,20,2020202020,20200000,05
104003706033,03418,20,20,20,2020202020,20200000,05
104003706034,03418,20,20,20,2020202020,20200000,05
104003706035,03418,20,20,20,2020202020,20200000,05
104003706036,03418,20,20,20,2020202020,20200000,05
104003706037,03418,20,20,20,2020202020,20200000,05
104003706038,03418,20,20,20,2020202020,20200000,05
104003706039,03418,20,20,20,2020202020,20200000,05
10400370603a,03418,20,20,20,2020202020,20200000,05
10400370603b,03418,20,20,20,2020202020,20200000,05
10400370603c,03418,20,20,20,2020202020,20200000,05
10400370603d,03418,20,20,20,2020202020,20200000,05
10400370603e,03418,20,20,20,2020202020,20200000,05
10400370603f,03418,20,20,20,2020202020,20200000,05
104003706040,03418,20,20,20,2020202020,20200000,05
104003706041,03418,20,20,20,2020202020,20200000,05
104003706042,03418,20,20,20,2020202020,20200000,05
104003706043,03418,20,20,20,2020202020,20200000,05
104003706044,03418,20,20,20,2020202020,20200000,05
104003706045,03418,20,20,20,2020202020,20200000,05
104003706046,03418,20,20,20,2020202020,20200000,05
104003706047,03418,20,20,20,2020202020,20200000,05
104003706048,03418,20,20,20,2020202020,20200000,05
104003706049,03418,20,20,20,2020202020,20200000,05
10400370604a,03418,20,20,20,2020202020,20200000,05
